warehouse_id,product_id,stock_level,reorder_level,avg_daily_sales,days_until_reorder
W000_000,PID1000,ten,63,16,1.6
W000_001,PID1001,138,45,79,1.7
W000_002,PID1002,69,88,40,1.7
W000_003,PID1003,42,95,25,1.7
W000_004,PID1004,105,61,60,1.8
W000_005,PID1005,104,98,71,1.5
W000_006,PID1006,132,54,70,1.9
W000_007,PID1007,134,46,86,1.6
W000_008,PID1008,-63,53,42,1.9
W000_009,PID1009,76,72,56,1.4
W000_010,PID1010,100,79,66,1.5
W000_011,PID1011,fifteen,28,75,1.3
W000_012,PID1012,125,46,96,1.3
W000_013,PID1013,128,87,68,1.9
W000_014,PID1014,53,23,29,1.8
W000_015,PID1015,ten,76,74,1.5
W000_016,PID1016,43,57,25,1.7
W000_017,PID1017,fifteen,64,33,1.3
W000_018,PID1018,fifteen,48,31,1.6
W000_019,PID1019,73,58,47,1.6
W000_020,PID1020,-63,88,26,1.8
W000_021,PID1021,,42,99,1.7
W000_022,PID1022,ten,26,69,1.2
W000_023,PID1023,16,29,11,1.5
W000_024,PID1024,171,66,87,2.0
W000_025,PID1025,44,34,33,1.3
W000_026,PID1026,29,31,18,1.6
W000_027,PID1027,70,72,52,1.3
W000_028,PID1028,108,95,79,1.4
W000_029,PID1029,124,76,63,2.0
W000_030,PID1030,105,40,80,1.3
W000_031,PID1031,,91,26,1.6
W000_032,PID1032,48,86,26,1.8
W000_033,PID1033,63,93,39,1.6
W000_034,PID1034,79,53,54,1.5
W000_035,PID1035,19,51,14,1.4
W000_036,PID1036,100,77,73,1.4
W000_037,PID1037,,61,90,1.9
W000_038,PID1038,140,45,73,1.9
W000_039,PID1039,89,70,49,1.8
W000_040,PID1040,37,50,20,1.9
W000_041,PID1041,-71,81,36,1.5
W000_042,PID1042,73,76,39,1.9
W000_043,PID1043,zero,27,81,1.9
W000_044,PID1044,27,47,17,1.6
W000_045,PID1045,70,94,52,1.3
W000_046,PID1046,126,89,76,1.7
W000_047,PID1047,141,43,92,1.5
W000_048,PID1048,-5,59,40,1.6
W000_049,PID1049,13,78,11,1.2
W000_050,PID1050,29,30,16,1.8
W000_051,PID1051,124,42,79,1.6
W000_052,PID1052,64,78,52,1.2
